Loop,Sides,pi,A_error,R_error
21,12582912,3.1415926535898585163431119918153556846088727506755,0.000000000000065277880468608535852800411703351300429827799635695,0.000000000000020778594702281875113819493401521792137299048723075
22,25165824,3.1415926535898095579327605351082799945118265988331,0.00000000000001631947011715182877711031465719945795188341799817,0.0000000000000051946486755703716347053679704696458384983307942795
23,50331648,3.141592653589797318330172671217623031164067360525,0.0000000000000040798675292879381201469668979611499243737510442442,0.000000000000001298662168892586837191997906516602453875517483637
24,100663296,3.1415926535897942584295257052628407877756585005427,0.0000000000000010199668823219833379035784891011675662909746108905,3.2466554222314632983022797125009405427257757399546e-16
25,201326592,3.1415926535897934934543639637752628517690894629572,2.5499172058049575996757192006358204562396356754823e-16,8.1166385555786558740821273726367540046930884614829e-17
26,402653184,3.1415926535897933022105735284034382193199805270405,6.374793014512393533512281112766537389305331397776e-17,2.0291596388946638202909335988707686661214319885305e-17
27,805306368,3.1415926535897932543996259195604864269297366257771,1.5936982536280983542732567226401991868357353791076e-17,5.072899097236659458083835094496669451018865669743e-18
28,1610612736,3.141592653589793242446889017349748751689802733756,3.9842456340702458674926333343808547503580885959588e-18,1.2682247743091648587307400922066527957536211469449e-18
29,3221225472,3.1415926535897932394587047917970643499334209534566,9.9606140851756146573625155408148657121109936591935e-19,3.1705619357729121432079635546306872460621229040846e-19
30,6442450944,3.1415926535897932387116587354088932505601756141759,2.490153521293903663630062148007694611780295538348e-19,7.9264048394322803557581047141481860973063382813991e-20
31,12884901888,3.1415926535897932385248972213118504757834799109678,6.2253838032347591586310511592723326187455705802204e-20,1.9816012098580700887981634177604573545311445761486e-20
32,25769803776,3.1415926535897932384782068427875897820934694621416,1.556345950808689789630006276646359898318724437895e-20,4.9540030246451752219070568189156422227946699597665e-21
33,51539607552,3.141592653589793238466534248156524608671227067246,3.8908648770217244740576678708903381462394393354918e-21,1.238500756161293805471242221888220238036715066916e-21
34,103079215104,3.141592653589793238463616099498758315315682732104,9.7271621925543111851333272893208132262456620352873e-22,3.0962518904032345136746543154605393062338795734801e-22
35,206158430208,3.1415926535897932384628865623343167419767976647924,2.4317905481385777962826541731070197721494522683421e-22,7.7406297260080862841844787641803074155692484896427e-23
36,412316860416,3.1415926535897932384627041780432063486420764614941,6.079476370346444490706211902863355862427079119157e-23,1.9351574315020215710459848772894775675118039817006e-23
37,824633720832,3.1415926535897932384626585819704287503083961646402,1.5198690925866111226765265057232560965379686623723e-23,4.8378935787550539276148779366204305304139558035178e-24
38,1649267441664,3.1415926535897932384626471829522343507249760906748,3.7996727314665278066912997332584083211148502767127e-24,1.2094733946887634819037142221585489664917623825378e-24
39,3298534883328,3.141592653589793238462644333197685750829121072199,9.4991818286663195167282390029104162964509533586083e-25,3.0236834867219087047592822671802528940755137677202e-25
40,6597069766656,3.141592653589793238462643620759048600855157317581,2.3747954571665798791820591627193678538296961887341e-25,7.5592087168047717618982037962622847710908380247408e-26
41,13194139533312,3.1415926535897932384626434426493893133616663789266,5.9369886429164496979551475058837131207448935507547e-26,1.889802179201192940474550821450456592947849524738e-26
42,26388279066624,3.141592653589793238462643398121974491488293644263,1.4842471607291124244887867428326927755764410806618e-26,4.7245054480029823511863766282424261496200905403541e-27
43,52776558133248,3.1415926535897932384626433869901207860199504605971,3.7106179018227810612219655206993768928432796313864e-27,1.1811263620007455877965937316768912046554893635977e-27
44,105553116266496,3.1415926535897932384626433842071573596528646646806,9.2765447545569526530549271655719926930864297811483e-28,2.9528159050018639694914885830293813391340561239026e-28
45,211106232532992,3.1415926535897932384626433835114165030610932157015,2.3191361886392381632637852466872000171845302560164e-28,7.3820397625046599237288916110595864476484489060925e-29
46,422212465065984,3.1415926535897932384626433833374812889131503534567,5.7978404715980954081603985843665323114374748278045e-29,1.8455099406261649809325206713656295365854022701112e-29
47,844424930131968,3.1415926535897932384626433832939974853761646378955,1.4494601178995238520402332843271376876416757337745e-29,4.6137748515654124523317270621294065909967771661181e-30
48,1688849860263936,3.1415926535897932384626433832831265344919182090052,3.623650294748809630104592357882982512573400139137e-30,1.1534437128913531130842079166783498963490087640499e-30
49,3377699720527872,3.1415926535897932384626433832804087967708566017826,9.0591257368720240752614808947074562814335003478424e-31,2.8836092822283827827105197916958747408725219101247e-31
50,6755399441055744,3.141592653589793238462643383279729362340591199977,2.2647814342180060187485511059245591792048616752818e-31,7.2090232055709569565636076215733120855455593552559e-32
